Comment,Description,Designator,Quantity,Man. Part Number

"100nF","","C1, C2, C3, C4, C13, C15, C16, C17, C18, C19, C20, C21, C26, C28, C30, C31, C52, C53, C54, C55, C56, C62, C63","23",""
"22pF","","C5, C7","2",""
"1uF","","C6, C14","2",""
"220nF","","C8, C57, C58, C59, C60, C61","6",""
"10uF","","C9, C10, C11","3",""
"1nF","","C12","1",""
"100uF","Polarized Capacitor (Radial)","C22, C37, C38, C39, C40, C41","6",""
"10uF","","C23, C25, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51","12",""
"4.7nF","","C24","1",""
"2.2uF","","C27","1",""
"10uF","Polarized Capacitor (Radial)","C29","1",""
"22nF","","C32, C33, C34, C35, C36","5",""
"MBR0520","Default Diode","D1","1",""
"SS54","Schottky Diode","D2, D3, D4","3",""
"GRE","Typical INFRARED GaAs LED","D5","1",""
"BLU","Typical INFRARED GaAs LED","D6, D7","2",""
"7A","Fuse","F1","1",""
"15A","Fuse","F2","1",""
"2A","Fuse","F3","1",""
"10uH","Inductor","L1","1",""
"USB_MINI","","P1","1",""
"","Header, 6-Pin","P2, P15, P16","3",""
"","Header, 4-Pin","P3, P17, P18, P19","4",""
"SWD","Header, 4-Pin","P4","1",""
"SD-CARD_NORMAL","","P5","1",""
"","Loudspeaker, Header, 2-Pin","P6, P7, P8, P10, P13, P14","6",""
"","Header, 2-Pin","P9, P11, P12","3",""
"Header 3","Header, 3-Pin","P20","1",""
"HY3403D","","Q1, Q2","2",""
"10K","","R1, R2, R3, R4, R15, R16, R19, R25, R26, R27, R28, R29, R45, R46, R47, R48","16",""
"4K7","","R5, R6, R14, R20, R21, R30, R32, R34, R36, R38","10",""
"0R","","R7, R8","2",""
"22K","","R9","1",""
"33K","","R10","1",""
"10R","","R11","1",""
"100K","","R12, R17, R22, R23, R24","5",""
"52K3","","R13","1",""
"15K","","R18","1",""
"150mR","","R31, R33, R35, R37, R39, R40, R41, R42, R43, R44","10",""
"10K","","RP1, RP5, RP6, RP7, RP8, RP9","6",""
"10R","","RP2","1",""
"4K7","","RP3, RP4","2",""
"STM32F103RE","","U1","1",""
"74HCT245","","U2","1",""
"CH340G","","U3","1",""
"TVS","","U4","1",""
"WTN6040","","U5","1",""
"SD8002D","","U6","1",""
"SGM6232","","U7","1",""
"LM1117-3.3","","U8","1",""
"MOSFET-Dual-N","","U9","1",""
"FT24C16","","U10","1",""
"TMC2208","","U11, U12, U13, U14, U15","5",""
"5K","","VR1, VR2, VR3, VR4, VR5","5",""
"12MHz","Crystal Oscillator","Y1","1",""
"8M","Crystal Oscillator","Y2","1",""
